"Retailer";"Retailer ID";"Invoice Date";"month";"Region";"State";"City";"category";"Product";"gender";"Price per Unit";"Units Sold";"Total Sales";"Operating Profit";"Operating Margin";"Sales Method"
"Walmart";1185732;"2020-04-20";"April";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";55;1000;550000;165000;30;"Outlet"
"Walmart";1185732;"2020-04-21";"April";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";50;925;462500;161875;35;"Outlet"
"Walmart";1185732;"2020-04-22";"April";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";50;900;450000;157500;35;"Outlet"
"Walmart";1185732;"2020-04-23";"April";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";60;900;540000;162000;30;"Outlet"
"Walmart";1185732;"2020-04-24";"April";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";65;1000;650000;162500;25;"Outlet"
"Walmart";1185732;"2020-04-25";"April";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";65;875;568750;170625;30;"Outlet"
"Walmart";1185732;"2020-04-26";"April";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";70;1000;700000;175000;25;"Outlet"
"Walmart";1185732;"2020-04-27";"April";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";65;1150;747500;373750;50;"Outlet"
"Walmart";1185732;"2020-04-28";"April";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";55;975;536250;160875;30;"Outlet"
"Walmart";1185732;"2020-04-29";"April";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";55;920;506000;177100;35;"Outlet"
"Walmart";1185732;"2020-04-30";"April";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";55;900;495000;173250;35;"Outlet"
"Walmart";1185732;"2020-05-01";"May";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";65;875;568750;170625;30;"Outlet"
"Walmart";1185732;"2020-05-02";"May";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";70;975;682500;170625;25;"Outlet"
"Walmart";1185732;"2020-05-03";"May";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";65;1200;780000;390000;50;"Outlet"
"Walmart";1185732;"2020-05-04";"May";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";55;1000;550000;165000;30;"Outlet"
"Walmart";1185732;"2020-05-05";"May";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";55;950;522500;182875;35;"Outlet"
"Walmart";1185732;"2020-05-06";"May";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";55;900;495000;173250;35;"Outlet"
"Walmart";1185732;"2020-05-07";"May";"Northeast";"New York";"New York";"apparel";"Men's Apparel";"male";65;900;585000;175500;30;"Outlet"
"Walmart";1185732;"2020-07-18";"July";"Northeast";"New York";"New York";"apparel";"Women's Apparel";"female";70;1000;700000;175000;25;"Outlet"
"Sports Direct";1197831;"2020-07-19";"July";"Northeast";"New York";"New York";"footwear";"Men's Street Footwear";"male";25;900;225000;78750;35;"Outlet"
"Sports Direct";1197831;"2020-07-20";"July";"Northeast";"New York";"New York";"footwear";"Men's Athletic Footwear";"male";35;900;315000;110250;35;"Outlet"
"Sports Direct";1197831;"2020-07-21";"July";"Northeast";"New York";"New York";"footwear";"Women's Street Footwear";"female";35;700;245000;85750;35;"Outlet"
"Sports Direct";1197831;"2020-07-22";"July";"Northeast";"New York";"New York";"footwear";"Women's Athletic Footwear";"female";35;700;245000;110250;45;"Outlet"
"Sports Direct";1197831;"2020-07-23";"July";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";40;550;220000;66000;30;"Outlet"
"Sports Direct";1197831;"2020-07-24";"July";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";35;700;245000;122500;50;"Outlet"
"Sports Direct";1197831;"2020-07-25";"July";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";25;850;212500;74375;35;"Outlet"
"Sports Direct";1197831;"2020-07-26";"July";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";35;850;297500;104125;35;"Outlet"
"Sports Direct";1197831;"2020-07-27";"July";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";35;675;236250;82688;35;"Outlet"
"Sports Direct";1197831;"2020-07-28";"July";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";35;625;218750;98438;45;"Outlet"
"Sports Direct";1197831;"2020-07-29";"July";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";40;500;200000;60000;30;"Outlet"
"Sports Direct";1197831;"2020-07-30";"July";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";35;700;245000;122500;50;"Outlet"
"Sports Direct";1197831;"2020-07-31";"July";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";30;875;262500;91875;35;"Outlet"
"Sports Direct";1197831;"2020-08-01";"August";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";40;875;350000;122500;35;"Outlet"
"Sports Direct";1197831;"2020-08-02";"August";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";35;700;245000;85750;35;"Outlet"
"Sports Direct";1197831;"2020-08-03";"August";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";40;600;240000;108000;45;"Outlet"
"Sports Direct";1197831;"2020-08-04";"August";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;500;225000;67500;30;"Outlet"
"Sports Direct";1197831;"2020-08-05";"August";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";40;650;260000;130000;50;"Outlet"
"Sports Direct";1197831;"2020-08-06";"August";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";30;900;270000;94500;35;"Outlet"
"Sports Direct";1197831;"2020-08-07";"August";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";40;900;360000;126000;35;"Outlet"
"Sports Direct";1197831;"2020-08-08";"August";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";35;725;253750;88813;35;"Outlet"
"Sports Direct";1197831;"2020-08-09";"August";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";40;625;250000;112500;45;"Outlet"
"Walmart";1197831;"2020-08-10";"August";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;525;236250;70875;30;"Outlet"
"Walmart";1197831;"2020-08-11";"August";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";40;800;320000;160000;50;"Outlet"
"Walmart";1197831;"2020-08-12";"August";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";30;925;277500;97125;35;"Outlet"
"Walmart";1197831;"2020-08-13";"August";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";40;925;370000;129500;35;"Outlet"
"Walmart";1197831;"2020-08-14";"August";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";35;775;271250;94938;35;"Outlet"
"Walmart";1197831;"2020-08-15";"August";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";40;700;280000;126000;45;"Outlet"
"Walmart";1197831;"2020-08-16";"August";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;600;270000;81000;30;"Outlet"
"Walmart";1197831;"2020-08-17";"August";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";40;950;380000;190000;50;"Outlet"
"Walmart";1197831;"2020-08-18";"August";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";40;950;380000;133000;35;"Outlet"
"Walmart";1197831;"2020-08-19";"August";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";45;950;427500;149625;35;"Outlet"
"Walmart";1197831;"2020-08-20";"August";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";40;800;320000;112000;35;"Outlet"
"Walmart";1197831;"2020-08-21";"August";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";40;750;300000;135000;45;"Outlet"
"Walmart";1197831;"2020-08-22";"August";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;650;292500;87750;30;"Outlet"
"Walmart";1197831;"2020-08-23";"August";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";50;1000;500000;250000;50;"Outlet"
"Walmart";1197831;"2020-08-24";"August";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";40;950;380000;133000;35;"Outlet"
"Walmart";1197831;"2020-08-25";"August";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";45;950;427500;149625;35;"Outlet"
"Walmart";1197831;"2020-08-26";"August";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";40;1100;440000;154000;35;"Outlet"
"Walmart";1197831;"2020-08-27";"August";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";40;700;280000;126000;45;"Outlet"
"Walmart";1197831;"2020-08-28";"August";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;700;315000;94500;30;"Outlet"
"Walmart";1197831;"2020-08-29";"August";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";50;975;487500;243750;50;"Outlet"
"Walmart";1197831;"2020-08-30";"August";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";40;925;370000;129500;35;"Outlet"
"Walmart";1197831;"2020-08-31";"August";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";45;925;416250;145688;35;"Outlet"
"Walmart";1197831;"2020-09-01";"September";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";40;1100;440000;154000;35;"Outlet"
"Walmart";1197831;"2020-09-02";"September";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";40;650;260000;117000;45;"Outlet"
"Walmart";1197831;"2020-09-03";"September";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;650;292500;87750;30;"Outlet"
"Walmart";1197831;"2020-09-04";"September";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";50;900;450000;225000;50;"Outlet"
"Walmart";1197831;"2020-09-05";"September";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";45;850;382500;133875;35;"Outlet"
"Walmart";1197831;"2020-09-06";"September";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";45;850;382500;133875;35;"Outlet"
"Walmart";1197831;"2020-09-07";"September";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";50;900;450000;157500;35;"Outlet"
"Walmart";1197831;"2020-09-08";"September";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";50;625;312500;140625;45;"Outlet"
"Walmart";1197831;"2020-09-09";"September";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;625;281250;84375;30;"Outlet"
"Walmart";1197831;"2020-09-10";"September";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";55;850;467500;233750;50;"Outlet"
"Walmart";1197831;"2020-09-11";"September";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";45;800;360000;126000;35;"Outlet"
"Walmart";1197831;"2020-09-12";"September";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";45;800;360000;126000;35;"Outlet"
"Walmart";1197831;"2020-09-13";"September";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";50;750;375000;131250;35;"Outlet"
"Walmart";1197831;"2020-09-14";"September";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";50;600;300000;135000;45;"Outlet"
"Walmart";1197831;"2020-09-15";"September";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;575;258750;77625;30;"Outlet"
"Walmart";1197831;"2020-09-16";"September";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";55;750;412500;206250;50;"Outlet"
"Walmart";1197831;"2020-10-20";"October";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";45;900;405000;141750;35;"Outlet"
"Walmart";1197831;"2020-10-21";"October";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";45;900;405000;141750;35;"Outlet"
"Walmart";1197831;"2020-10-22";"October";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";50;825;412500;144375;35;"Outlet"
"Walmart";1197831;"2020-10-23";"October";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";50;675;337500;151875;45;"Outlet"
"Walmart";1197831;"2020-10-24";"October";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;650;292500;87750;30;"Outlet"
"Walmart";1197831;"2020-10-25";"October";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";55;850;467500;233750;50;"Outlet"
"Walmart";1197831;"2020-10-26";"October";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";45;950;427500;149625;35;"Outlet"
"Walmart";1197831;"2020-10-27";"October";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";45;950;427500;149625;35;"Outlet"
"Walmart";1197831;"2020-10-28";"October";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";50;850;425000;148750;35;"Outlet"
"Walmart";1197831;"2020-10-29";"October";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";50;700;350000;157500;45;"Outlet"
"Walmart";1197831;"2020-10-30";"October";"South";"Texas";"Houston";"apparel";"Men's Apparel";"male";45;650;292500;87750;30;"Outlet"
"Walmart";1197831;"2020-10-31";"October";"South";"Texas";"Houston";"apparel";"Women's Apparel";"female";55;900;495000;247500;50;"Outlet"
"West Gear";1128299;"2020-11-01";"November";"South";"Texas";"Houston";"footwear";"Men's Street Footwear";"male";40;775;310000;108500;35;"Outlet"
"West Gear";1128299;"2020-11-02";"November";"South";"Texas";"Houston";"footwear";"Men's Athletic Footwear";"male";50;775;387500;77500;20;"Outlet"
"West Gear";1128299;"2020-11-03";"November";"South";"Texas";"Houston";"footwear";"Women's Street Footwear";"female";50;775;387500;135625;35;"Outlet"
"West Gear";1128299;"2020-11-04";"November";"South";"Texas";"Houston";"footwear";"Women's Athletic Footwear";"female";50;625;312500;93750;30;"Outlet"
"West Gear";1128299;"2020-11-05";"November";"West";"California";"San Francisco";"apparel";"Men's Apparel";"male";55;575;316250;158125;50;"Outlet"
"West Gear";1128299;"2020-11-06";"November";"West";"California";"San Francisco";"apparel";"Women's Apparel";"female";50;775;387500;58125;15;"Outlet"
"West Gear";1128299;"2020-11-07";"November";"West";"California";"San Francisco";"footwear";"Men's Street Footwear";"male";40;825;330000;115500;35;"Outlet"
"West Gear";1128299;"2020-11-08";"November";"West";"California";"San Francisco";"footwear";"Men's Athletic Footwear";"male";50;725;362500;72500;20;"Outlet"
"West Gear";1128299;"2020-11-09";"November";"West";"California";"San Francisco";"footwear";"Women's Street Footwear";"female";50;725;362500;126875;35;"Outlet"
"West Gear";1128299;"2020-11-10";"November";"West";"California";"San Francisco";"footwear";"Women's Athletic Footwear";"female";50;575;287500;86250;30;"Outlet"
"West Gear";1128299;"2020-11-11";"November";"West";"California";"San Francisco";"apparel";"Men's Apparel";"male";55;500;275000;137500;50;"Outlet"
"West Gear";1128299;"2020-11-12";"November";"West";"California";"San Francisco";"apparel";"Women's Apparel";"female";50;700;350000;52500;15;"Outlet"
"West Gear";1128299;"2020-11-13";"November";"West";"California";"San Francisco";"footwear";"Men's Street Footwear";"male";50;850;425000;148750;35;"Outlet"
"West Gear";1128299;"2020-11-14";"November";"West";"California";"San Francisco";"footwear";"Men's Athletic Footwear";"male";60;700;420000;84000;20;"Outlet"
"West Gear";1128299;"2020-11-15";"November";"West";"California";"San Francisco";"footwear";"Women's Street Footwear";"female";60;700;420000;147000;35;"Outlet"
"West Gear";1128299;"2020-12-22";"December";"West";"California";"San Francisco";"footwear";"Women's Athletic Footwear";"female";60;600;360000;108000;30;"Outlet"
"West Gear";1128299;"2020-12-23";"December";"West";"California";"San Francisco";"apparel";"Men's Apparel";"male";65;500;325000;162500;50;"Outlet"
"West Gear";1128299;"2020-12-24";"December";"West";"California";"San Francisco";"apparel";"Women's Apparel";"female";60;700;420000;63000;15;"Outlet"
"West Gear";1128299;"2020-12-25";"December";"West";"California";"San Francisco";"footwear";"Men's Street Footwear";"male";60;875;525000;183750;35;"Outlet"
"West Gear";1128299;"2020-12-26";"December";"West";"California";"San Francisco";"footwear";"Men's Athletic Footwear";"male";65;675;438750;87750;20;"Outlet"
"West Gear";1128299;"2020-12-27";"December";"West";"California";"San Francisco";"footwear";"Women's Street Footwear";"female";65;725;471250;164938;35;"Outlet"
"West Gear";1128299;"2020-12-28";"December";"West";"California";"San Francisco";"footwear";"Women's Athletic Footwear";"female";60;625;375000;112500;30;"Outlet"
"West Gear";1128299;"2020-12-29";"December";"West";"California";"San Francisco";"apparel";"Men's Apparel";"male";65;525;341250;170625;50;"Outlet"
"West Gear";1128299;"2020-12-30";"December";"West";"California";"San Francisco";"apparel";"Women's Apparel";"female";80;700;560000;84000;15;"Outlet"
"West Gear";1128299;"2020-12-31";"December";"West";"California";"San Francisco";"footwear";"Men's Street Footwear";"male";60;900;540000;216000;40;"Outlet"
"West Gear";1128299;"2021-01-01";"January";"West";"California";"San Francisco";"footwear";"Men's Athletic Footwear";"male";65;750;487500;121875;25;"Outlet"
"West Gear";1128299;"2021-01-02";"January";"West";"California";"San Francisco";"footwear";"Women's Street Footwear";"female";65;750;487500;195000;40;"Outlet"
"West Gear";1128299;"2021-01-03";"January";"West";"California";"San Francisco";"footwear";"Women's Athletic Footwear";"female";60;650;390000;136500;35;"Outlet"
"West Gear";1128299;"2021-01-04";"January";"West";"California";"San Francisco";"apparel";"Men's Apparel";"male";65;550;357500;196625;55;"Outlet"
"West Gear";1128299;"2021-01-05";"January";"West";"California";"San Francisco";"apparel";"Women's Apparel";"female";80;725;580000;116000;20;"Outlet"
"West Gear";1128299;"2021-01-06";"January";"West";"California";"San Francisco";"footwear";"Men's Street Footwear";"male";60;975;585000;234000;40;"Outlet"
"West Gear";1128299;"2021-01-07";"January";"West";"California";"San Francisco";"footwear";"Men's Athletic Footwear";"male";65;825;536250;134063;25;"Outlet"
"West Gear";1128299;"2021-01-08";"January";"West";"California";"San Francisco";"footwear";"Women's Street Footwear";"female";65;825;536250;214500;40;"Outlet"
"West Gear";1128299;"2021-01-09";"January";"West";"California";"San Francisco";"footwear";"Women's Athletic Footwear";"female";60;700;420000;147000;35;"Outlet"
"West Gear";1128299;"2021-01-10";"January";"West";"California";"San Francisco";"apparel";"Men's Apparel";"male";65;575;373750;205563;55;"Outlet"
"West Gear";1128299;"2021-01-11";"January";"West";"California";"San Francisco";"apparel";"Women's Apparel";"female";80;875;700000;140000;20;"Outlet"
"West Gear";1128299;"2021-01-12";"January";"West";"California";"San Francisco";"footwear";"Men's Street Footwear";"male";60;1025;615000;215250;35;"Outlet"
"West Gear";1128299;"2021-01-13";"January";"West";"California";"San Francisco";"footwear";"Men's Athletic Footwear";"male";65;875;568750;113750;20;"Outlet"
"West Gear";1128299;"2021-01-14";"January";"West";"California";"San Francisco";"footwear";"Women's Street Footwear";"female";65;825;536250;187688;35;"Outlet"
"West Gear";1128299;"2021-01-15";"January";"West";"California";"San Francisco";"footwear";"Women's Athletic Footwear";"female";60;725;435000;130500;30;"Outlet"
"West Gear";1128299;"2021-01-16";"January";"West";"California";"San Francisco";"apparel";"Men's Apparel";"male";65;775;503750;251875;50;"Outlet"
"West Gear";1128299;"2021-01-17";"January";"West";"California";"San Francisco";"apparel";"Women's Apparel";"female";80;775;620000;93000;15;"Outlet"
"West Gear";1128299;"2021-01-18";"January";"West";"California";"San Francisco";"footwear";"Men's Street Footwear";"male";65;975;633750;221813;35;"Outlet"
"West Gear";1128299;"2021-01-19";"January";"West";"California";"San Francisco";"footwear";"Men's Athletic Footwear";"male";70;925;647500;129500;20;"Outlet"
"West Gear";1128299;"2021-01-20";"January";"West";"California";"San Francisco";"footwear";"Women's Street Footwear";"female";65;800;520000;182000;35;"Outlet"
"West Gear";1128299;"2021-01-21";"January";"West";"California";"San Francisco";"footwear";"Women's Athletic Footwear";"female";65;750;487500;146250;30;"Outlet"
"West Gear";1128299;"2021-01-22";"January";"West";"California";"San Francisco";"apparel";"Men's Apparel";"male";75;750;562500;281250;50;"Outlet"
"West Gear";1128299;"2021-01-23";"January";"West";"California";"San Francisco";"apparel";"Women's Apparel";"female";80;725;580000;87000;15;"Outlet"
